owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
pc,2004,1534,1007,527,16372673.65,57097205.21
pc,2005,1465,999,466,16006524.56,45236763.50
pc,2006,1865,1293,572,20572377.37,49617433.20
pc,2007,1644,1076,568,16826057.90,57503642.18
pc,2008,1941,1303,638,21028184.77,65162411.55
pc,2009,2235,1469,766,23445501.86,132455628.02
pc,2010,2249,1481,768,23826310.98,105556161.19
pc,2011,1861,1231,630,19762585.12,99409588.35
pc,2012,1590,1028,562,16161063.47,65579385.62
pc,2013,2228,1387,841,22867338.17,117534273.05
pc,2014,2469,1505,964,24459078.73,172374322.56
pc,2015,3161,1748,1413,28453840.44,384088926.71
pc,2016,2965,1635,1330,26290589.48,486702188.52
pc,2017,2925,1531,1394,24799762.55,473869019.29
pc,2018,2009,1050,959,16726136.75,410508247.96
pch,2004,1043,759,284,13053460.56,27215992.94
pch,2005,933,653,280,11362015.88,24100207.85
pch,2006,911,627,284,10874852.38,21836181.48
pch,2007,868,562,306,9828766.04,39144028.26
pch,2008,667,407,260,6950399.76,37716551.70
pch,2009,540,328,212,5497636.48,30063574.66
pch,2010,351,218,133,3707152.72,13911845.27
pch,2011,261,138,123,2465465.14,16772837.38
pch,2012,154,88,66,1471412.84,10072004.00
pch,2013,205,120,85,2046898.26,11928349.70
pch,2014,348,206,142,3581764.33,23712921.36
pch,2015,322,198,124,3421689.10,15930776.67
pch,2016,451,263,188,4514711.79,25857181.38
pch,2017,494,292,202,5043782.66,22685739.97
pch,2018,148,93,55,1609171.54,7707855.40
pco,2004,428,298,130,5282794.55,8695468.38
pco,2005,480,318,162,5649110.82,12748316.14
pco,2006,336,215,121,3581347.33,10523939.16
pco,2007,287,185,102,3245663.77,10089026.18
pco,2008,292,187,105,3182948.17,8102498.42
pco,2009,312,208,104,3569827.34,9091089.65
pco,2010,294,188,106,3117778.94,17110750.12
pco,2011,246,149,97,2453789.89,15126897.52
pco,2012,156,106,50,1823248.90,4315845.15
pco,2013,200,127,73,2120818.80,14531775.75
pco,2014,130,84,46,1458023.00,7086242.13
pco,2015,158,103,55,1747363.16,4589940.13
pco,2016,256,155,101,2583065.78,20962086.60
pco,2017,331,211,120,3839339.72,35961981.07
pco,2018,228,138,90,2315161.88,22477672.91
phac,2010,1525,957,568,16557327.37,52565011.89
phac,2011,2741,1732,1009,30131701.24,133589126.56
phac,2012,2124,1297,827,22132698.23,158577746.00
phac,2013,1950,1095,855,19167998.46,135690127.33
phac,2014,1958,1076,882,19058862.31,449360136.87
phac,2015,1662,972,690,17236173.01,138054092.75
phac,2016,1525,882,643,15646148.30,118291333.19
phac,2017,697,471,226,8573358.47,70427953.74
phac,2018,475,306,169,5578900.22,22141103.34
pmprb,2016,14,6,8,96162.33,2251082.20
pmprb,2017,22,18,4,288972.49,1524574.81
pmprb,2018,17,14,3,255360.63,673359.20
ppsc,2006,3,2,1,36335.74,38617.92
ppsc,2007,34,27,7,444657.45,474897.61
ppsc,2008,126,87,39,1460171.82,2368252.68
ppsc,2009,140,91,49,1568113.80,3392137.90
ppsc,2010,103,66,37,1194973.10,2769109.17
ppsc,2011,112,66,46,1121383.27,3718683.08
ppsc,2012,115,79,36,1352115.25,3116413.70
ppsc,2013,343,123,220,1825634.29,45870174.35
ppsc,2014,144,55,89,914363.64,15676324.69
ppsc,2015,95,40,55,708243.48,23168896.23
ppsc,2016,74,41,33,616779.59,4200401.97
ppsc,2017,101,45,56,770429.83,8374221.32
ppsc,2018,73,30,43,532738.24,4474969.51
pptc,2010,252,119,133,1971590.57,84441785.68
pptc,2011,304,113,191,2021787.12,172150683.30
pptc,2012,165,58,107,1034755.65,15221615.43
pptc,2013,171,63,108,976890.31,46212049.59
pptc,2014,64,15,49,265717.56,10734057.25
ps,2004,429,301,128,5499856.29,10295317.39
